date,steps,distance,runDistance,calories
19/09/2023,8243,6049,516,254
20/09/2023,11106,8341,918,340
21/09/2023,8433,6139,587,259
22/09/2023,9020,6876,829,282
23/09/2023,9197,6484,338,248
24/09/2023,11860,8497,506,336
25/09/2023,13349,10268,261,393
26/09/2023,9611,7281,515,289
27/09/2023,9310,6793,434,268
28/09/2023,15522,11863,818,444
29/09/2023,13033,9828,1119,365
30/09/2023,7122,5076,399,189
01/10/2023,3053,2162,336,99
02/10/2023,17218,12722,1040,473
03/10/2023,5972,4504,588,176
04/10/2023,4107,2967,414,113
05/10/2023,12727,9432,1365,367
06/10/2023,10255,7655,594,297
07/10/2023,14312,10424,519,403
08/10/2023,8138,6063,436,232
09/10/2023,9406,7074,288,287
10/10/2023,4963,3575,614,152
11/10/2023,10452,7820,371,300
12/10/2023,4352,3205,229,127
13/10/2023,14237,10709,196,396
14/10/2023,10003,7431,144,274
15/10/2023,34,24,8,1
16/10/2023,0,0,0,0
17/10/2023,35,24,9,1
18/10/2023,5278,4011,246,162
19/10/2023,7328,5474,290,214
20/10/2023,6863,5171,351,208
21/10/2023,8731,6191,273,232
22/10/2023,1461,1046,148,50
23/10/2023,4546,3438,370,148
24/10/2023,5302,3971,432,160
25/10/2023,6608,5068,532,208
26/10/2023,2025,1450,314,72
27/10/2023,18932,14326,1268,542
28/10/2023,1830,1313,408,77
29/11/2023,7264,5181,365,242
30/10/2023,10180,7611,536,346
31/10/2023,10042,7600,541,317
01/11/2023,14119,10762,748,508
02/11/2023,13675,10412,730,431
03/11/2023,13573,10266,726,400
04/11/2023,13385,9822,716,579
05/11/2023,11269,8023,595,491
06/11/2023,7922,5900,428,420
07/11/2023,25,17,0,1
08/11/2023,4404,3299,191,126
