date,steps,distance,runDistance,calories
2023-10-01,1439,887,712,4
2023-10-02,9188,6413,4870,122
2023-10-03,1164,717,600,368
2023-10-04,9489,6538,4998,112
2023-10-05,8292,5863,4466,268
2023-10-06,12675,9019,6841,185
2023-10-07,10968,7813,5950,309
2023-10-08,2304,1420,1105,4
2023-10-09,11352,7788,5905,161
2023-10-10,9933,7006,5389,129
2023-10-11,11609,8168,6283,331
2023-10-12,13269,9412,7079,200
2023-10-13,7183,5031,3759,94
2023-10-14,717,442,393,0
2023-10-15,1782,1117,918,5
2023-10-16,10616,7417,5622,130
2023-10-17,7768,5418,4140,107
2023-10-18,9125,6332,4856,132
2023-10-19,7343,5175,3905,104
2023-10-20,10948,7706,5844,165
2023-10-21,1655,1020,896,3
2023-10-22,16529,11751,8863,1908
2023-10-23,9594,6632,5084,128
2023-10-24,1670,1029,886,108
2023-10-25,8428,5807,4408,108
2023-10-26,9902,6816,5245,120
2023-10-27,19967,13499,10300,259
