date,time,steps
2023-09-29,09:57,7
2023-09-29,09:58,6
2023-09-29,10:00,55
2023-09-29,10:01,115
2023-09-29,10:02,123
2023-09-29,10:03,104
2023-09-29,10:04,121
2023-09-29,10:05,118
2023-09-29,10:06,115
2023-09-29,10:07,117
2023-09-29,10:08,119
2023-09-29,10:09,87
2023-09-29,10:10,59
2023-09-29,10:12,11
2023-09-29,10:13,10
2023-09-29,10:33,9
2023-09-29,10:48,86
2023-09-29,10:49,115
2023-09-29,10:50,108
2023-09-29,10:51,99
2023-09-29,10:52,85
2023-09-29,10:53,118
2023-09-29,10:54,121
2023-09-29,10:55,111
2023-09-29,10:56,119
2023-09-29,10:57,117
2023-09-29,10:58,112
2023-09-29,10:59,11
2023-09-29,11:00,49
2023-09-29,11:01,19
2023-09-29,11:34,8
2023-09-29,11:43,7
2023-09-29,11:44,8
2023-09-29,11:45,3
2023-09-29,11:51,49
2023-09-29,11:53,20
2023-09-29,11:58,11
2023-09-29,11:59,26
2023-09-29,12:00,4
2023-09-29,12:01,44
2023-09-29,12:07,8
2023-09-29,12:47,29
2023-09-29,12:48,20
2023-09-29,12:49,15
2023-09-29,12:50,40
2023-09-29,12:51,11
2023-09-29,12:52,81
2023-09-29,12:53,76
2023-09-29,12:54,9
2023-09-29,12:58,8
2023-09-29,12:59,6
2023-09-29,13:01,41
2023-09-29,13:02,79
2023-09-29,13:03,43
2023-09-29,13:21,3
2023-09-29,13:22,45
2023-09-29,13:23,43
2023-09-29,13:29,3
2023-09-29,13:42,17
2023-09-29,13:43,98
2023-09-29,13:44,21
2023-09-29,14:32,26
2023-09-29,14:33,64
2023-09-29,14:46,44
2023-09-29,14:47,14
2023-09-29,14:55,4
2023-09-29,14:56,15
2023-09-29,14:57,34
2023-09-29,14:58,6
2023-09-29,15:08,7
2023-09-29,15:09,80
2023-09-29,15:10,35
2023-09-29,15:11,9
2023-09-29,15:12,29
2023-09-29,15:17,9
2023-09-29,15:19,6
2023-09-29,15:23,8
2023-09-29,15:27,23
2023-09-29,15:28,8
2023-09-29,15:29,1
2023-09-29,15:30,9
2023-09-29,15:31,5
2023-09-29,15:32,6
2023-09-29,15:33,10
2023-09-29,15:34,23
2023-09-29,15:36,12
2023-09-29,15:39,9
2023-09-29,15:43,7
2023-09-29,15:44,5
2023-09-29,15:45,22
2023-09-29,15:46,7
2023-09-29,15:47,23
2023-09-29,15:48,2
2023-09-29,15:49,8
2023-09-29,15:50,6
2023-09-29,15:59,6
2023-09-29,16:00,101
2023-09-29,16:01,20
2023-09-29,16:16,10
2023-09-29,16:17,95
2023-09-29,16:18,59
2023-09-29,16:19,10
2023-09-29,16:20,81
2023-09-29,16:21,37
2023-09-29,16:25,87
2023-09-29,16:26,112
2023-09-29,16:27,112
2023-09-29,16:28,107
