date,start,stop,distance,calories,steps
2023-09-29,10:01,10:08,755,27,932
2023-09-29,10:49,10:59,894,37,1116
2023-09-29,11:45,12:02,103,8,157
2023-09-29,12:47,12:53,179,7,272
2023-09-29,16:17,16:21,190,8,282
2023-09-29,16:26,16:33,702,28,870
2023-09-29,16:34,16:38,209,8,295
2023-09-29,17:13,17:23,997,39,1221
2023-09-29,17:24,17:44,117,11,177
2023-10-02,09:59,10:07,832,30,1032
2023-10-02,10:29,10:36,712,26,869
2023-10-02,12:40,13:04,293,14,422
2023-10-02,16:00,16:05,610,22,706
2023-10-02,16:06,16:10,241,12,331
2023-10-02,16:29,16:38,939,37,1130
2023-10-05,11:36,11:42,669,22,823
2023-10-05,12:02,12:06,478,17,570
2023-10-05,12:07,12:11,288,13,408
2023-10-05,12:24,12:28,116,5,176
2023-10-05,13:06,13:28,255,13,386
2023-10-05,15:39,15:53,217,12,313
2023-10-05,16:42,16:47,159,6,241
2023-10-05,18:58,19:05,661,24,841
2023-10-05,21:53,21:58,392,13,550
2023-10-05,22:42,22:52,983,39,1224
2023-10-06,10:04,10:11,759,28,989
2023-10-06,10:30,10:36,632,26,755
2023-10-06,12:46,12:50,217,9,317
2023-10-06,12:59,13:26,326,15,493
2023-10-06,15:45,15:50,212,7,300
2023-10-06,16:35,16:43,117,6,177
2023-10-06,16:44,16:51,721,27,883
2023-10-06,17:20,17:30,960,39,1196
2023-10-06,20:59,21:14,98,7,149
2023-10-07,15:08,15:14,553,19,715
2023-10-07,15:18,15:22,329,16,446
2023-10-07,15:28,15:35,187,6,283
2023-10-07,15:42,15:47,520,18,652
2023-10-07,15:48,15:56,105,8,160
2023-10-07,16:32,16:40,191,8,290
2023-10-07,16:47,17:09,740,33,1083
2023-10-07,17:12,17:25,231,11,336
2023-10-09,09:55,10:03,857,31,1036
2023-10-09,10:25,10:34,776,29,995
2023-10-09,12:44,12:49,421,14,565
2023-10-09,12:50,12:54,441,19,547
2023-10-09,14:02,14:10,501,21,680
2023-10-09,15:02,15:07,401,15,564
2023-10-09,15:08,15:21,692,30,912
2023-10-09,16:17,16:35,127,7,192
2023-10-09,16:56,17:02,115,6,175
2023-10-09,18:07,18:13,440,17,576
2023-10-09,18:25,18:31,623,24,756
2023-10-09,18:49,19:00,1007,40,1227
2023-10-09,23:28,23:33,50,3,77
2023-10-10,09:39,11:59,78,3,119
2023-10-10,12:00,12:08,801,30,987
2023-10-10,12:30,12:36,630,24,773
2023-10-10,12:37,12:47,234,10,354
2023-10-10,14:08,14:22,959,34,1320
2023-10-10,15:20,15:29,101,7,154
2023-10-10,16:06,16:11,292,10,417
2023-10-10,16:12,16:18,635,25,777
2023-10-10,16:50,16:57,690,27,871
2023-10-10,19:49,19:55,166,8,251
2023-10-10,20:02,20:10,243,7,368
2023-10-10,22:38,22:44,85,5,129
2023-10-11,10:24,10:31,781,28,960
2023-10-11,10:51,10:58,724,28,886
2023-10-11,11:32,11:39,695,25,870
2023-10-11,12:27,12:31,429,13,540
2023-10-11,12:32,12:52,594,28,825
2023-10-11,13:16,13:23,62,3,94
2023-10-11,13:50,13:54,72,3,109
2023-10-11,14:54,14:59,355,13,469
2023-10-11,18:05,18:29,276,17,411
2023-10-11,20:04,20:08,115,4,174
2023-10-11,20:09,20:16,730,27,890
2023-10-11,20:17,20:21,167,10,253
2023-10-11,20:49,21:00,959,39,1187
2023-10-12,11:21,11:29,859,33,1025
2023-10-12,12:01,12:07,670,26,798
2023-10-12,12:45,12:59,170,8,258
2023-10-12,13:41,13:46,242,8,347
2023-10-12,15:40,15:48,420,13,602
2023-10-12,15:49,15:55,533,21,712
2023-10-12,16:07,16:13,186,6,282
2023-10-12,16:19,16:34,137,7,208
2023-10-12,16:36,16:41,236,7,354
2023-10-12,17:26,17:32,287,12,411
2023-10-12,17:37,17:55,141,8,214
2023-10-12,17:56,18:06,882,35,1104
2023-10-12,18:29,20:51,164,8,246
2023-10-12,21:49,22:06,1043,41,1431
2023-10-13,09:57,10:02,172,6,237
2023-10-13,10:03,10:07,436,15,545
2023-10-13,10:08,10:16,440,20,591
2023-10-13,10:39,10:47,713,30,872
2023-10-13,10:48,10:52,115,5,175
2023-10-13,12:27,12:31,101,4,153
2023-10-13,14:17,14:26,179,7,249
2023-10-13,15:36,15:46,144,6,218
2023-10-13,15:57,16:01,117,3,178
2023-10-13,16:02,16:10,682,28,875
2023-10-13,16:30,16:41,953,36,1228
2023-10-13,18:03,18:07,145,5,219
2023-10-13,18:49,18:56,256,11,362
