date,start,stop,distance,calories,steps
2023-11-21,23:48,23:52,181,5,241
2023-11-21,19:19,19:33,425,15,581
2023-11-21,19:14,19:18,250,8,338
2023-11-21,18:36,18:48,71,4,102
2023-11-21,18:01,18:05,439,17,532
2023-11-21,17:33,17:41,784,29,952
2023-11-21,17:19,17:32,75,2,108
2023-11-22,19:59,20:06,328,11,466
2023-11-22,19:48,19:53,491,18,611
2023-11-22,19:41,19:47,101,4,145
2023-11-22,19:35,19:40,530,20,640
2023-11-22,18:23,18:34,355,14,458
2023-11-22,18:06,18:15,543,20,720
2023-11-22,17:32,17:39,712,26,843
2023-11-22,16:30,16:35,202,6,290
2023-11-22,14:49,14:54,162,5,232
2023-11-22,13:00,13:27,613,22,799
2023-11-22,10:27,10:34,416,14,546
2023-11-22,10:22,10:26,363,14,439
2023-11-23,23:52,23:59,504,19,657
2023-11-23,20:49,20:53,100,3,144
2023-11-23,20:44,20:48,418,16,519
2023-11-23,20:37,20:43,142,6,204
2023-11-23,18:35,18:50,197,7,283
2023-11-23,18:25,18:33,379,15,489
2023-11-23,18:18,18:24,570,22,670
2023-11-23,17:47,17:56,853,32,1025
2023-11-23,13:37,13:46,803,30,1009
2023-11-23,13:03,13:11,447,16,562
2023-11-23,12:41,12:57,61,2,88
2023-11-23,12:25,12:39,411,13,575
2023-11-23,11:54,12:17,53,5,77
2023-11-23,10:08,10:12,246,8,332
2023-11-23,00:24,10:07,127,5,182
2023-11-23,00:13,00:23,821,31,1055
2023-11-23,00:01,00:12,471,17,583
2023-11-24,18:04,18:12,120,5,172
2023-11-24,17:37,17:41,388,14,499
2023-11-24,16:46,16:51,583,22,684
2023-11-24,14:12,14:31,296,9,414
2023-11-24,12:22,12:33,832,31,1070
2023-11-24,11:54,12:02,827,32,958
2023-11-24,09:46,09:50,209,7,278
2023-11-24,09:14,09:45,153,8,219
2023-11-25,23:27,23:34,46,2,67
2023-11-25,20:04,20:16,328,13,441
2023-11-25,19:44,19:57,223,7,319
2023-11-25,16:48,16:56,248,8,335
2023-11-25,16:31,16:36,134,4,193
2023-11-25,12:31,12:38,226,6,318
2023-11-25,10:25,10:31,85,4,122
2023-11-25,09:59,10:03,105,4,151
2023-11-26,22:28,22:34,553,21,693
2023-11-26,21:35,21:46,85,4,122
2023-11-26,21:05,21:09,106,3,153
2023-11-26,21:00,21:04,44,2,63
2023-11-26,12:41,13:00,65,4,94
2023-11-26,12:31,12:39,290,11,415
2023-11-27,19:38,19:43,280,9,387
2023-11-27,18:40,18:56,95,6,137
2023-11-27,16:56,17:04,83,3,120
2023-11-27,16:21,16:26,505,19,615
2023-11-27,15:57,16:05,794,29,940
2023-11-27,11:52,12:05,826,29,1033
2023-11-27,11:26,11:30,377,14,489
2023-11-27,11:13,11:25,244,9,312
2023-11-27,08:53,09:02,309,12,438
2023-11-28,23:24,23:45,154,9,221
2023-11-28,22:18,22:43,610,20,841
2023-11-28,21:29,21:33,105,3,151
2023-11-28,20:46,20:51,184,6,252
2023-11-28,19:53,20:18,353,14,482
2023-11-28,19:47,19:52,446,17,578
2023-11-28,18:35,18:40,497,18,613
2023-11-28,17:53,17:58,155,5,223
2023-11-28,17:42,17:46,137,4,196
2023-11-28,17:28,17:32,399,15,484
2023-11-28,17:02,17:09,724,27,863
2023-11-28,15:31,15:36,219,7,286
2023-11-28,14:08,14:16,188,6,269
2023-11-28,12:51,12:57,138,5,198
2023-11-28,12:42,12:48,545,21,690
2023-11-28,11:23,11:40,1599,60,1924
2023-11-28,09:27,09:44,1626,60,1929
2023-11-28,08:22,08:28,724,30,807
2023-11-29,18:33,18:40,267,9,351
2023-11-29,16:43,16:47,123,3,176
2023-11-29,16:19,16:23,431,16,527
2023-11-29,15:55,16:03,764,28,925
2023-11-29,12:05,12:11,223,7,319
2023-11-29,10:58,11:26,852,30,1086
2023-11-29,10:32,10:38,522,20,625
2023-11-29,10:06,10:31,153,7,219
2023-11-30,15:51,15:55,106,3,153
2023-11-30,14:51,14:55,139,4,199
2023-11-30,13:40,13:59,527,18,690
2023-11-30,13:34,13:39,460,16,575
2023-11-30,12:16,12:20,422,16,521
2023-11-30,09:11,09:27,137,4,196
2023-11-30,09:06,09:10,456,18,538
2023-11-30,07:25,07:36,571,22,724
