type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
6,2023-11-20 20:14:38+0000,2405,0.7070749402046204,-1.0,1863.0,1.29072093963623,133.0
6,2023-11-19 20:25:29+0000,3011,0.7450783848762512,-1.0,1703.0,1.767738223075867,136.0
24,2023-11-19 10:40:29+0000,8312,-1.0,-1.0,0.0,-1.0,449.0
24,2023-11-18 10:38:41+0000,33415,-1.0,-1.0,0.0,-1.0,1604.0
6,2023-11-17 22:47:26+0000,1636,1.18343198299408,-1.0,185.0,6.000999927520752,68.0
6,2023-11-16 19:50:44+0000,1533,0.7111843824386597,-1.0,742.0,2.065402269363403,78.0
6,2023-11-14 20:02:57+0000,9784,1.238337993621826,-1.0,15.0,6.000999927520752,342.0
24,2023-11-09 08:49:25+0000,2811,-1.0,-1.0,0.0,-1.0,225.0
6,2023-11-07 16:28:21+0000,6872,0.5813808441162109,-1.0,1272.0,5.397916793823242,256.0
6,2023-11-01 13:53:13+0000,912,0.8098183870315552,-1.0,912.0,0.9993504285812378,53.0
6,2023-10-31 14:50:31+0000,7773,0.6978164315223694,-1.0,1221.0,6.000999927520752,292.0
40,2023-10-30 17:18:02+0000,1927,0.8658464550971985,-1.0,1372.0,1.404248833656311,90.0
24,2023-10-29 10:07:25+0000,4431,-1.0,-1.0,0.0,-1.0,238.0
24,2023-10-24 15:47:20+0000,2040,-1.0,-1.0,0.0,-1.0,120.0
24,2023-10-22 09:57:43+0000,35535,-1.0,-1.0,0.0,-1.0,2168.0
24,2023-10-11 05:59:24+0000,2223,-1.0,-1.0,0.0,-1.0,185.0
24,2023-10-07 08:38:53+0000,2497,-1.0,-1.0,0.0,-1.0,180.0
24,2023-10-05 07:39:52+0000,2468,-1.0,-1.0,0.0,-1.0,184.0
24,2023-10-03 07:29:07+0000,6665,-1.0,-1.0,0.0,-1.0,420.0
24,2023-09-28 06:07:39+0000,2618,-1.0,-1.0,0.0,-1.0,215.0
24,2023-09-25 19:03:20+0000,3825,-1.0,-1.0,0.0,-1.0,208.0
6,2023-09-25 09:36:42+0000,321,0.8371889591217041,-1.0,121.0,2.638735055923462,24.0
24,2023-09-24 07:30:42+0000,413,-1.0,-1.0,0.0,-1.0,28.0
24,2023-09-23 07:26:22+0000,2017,-1.0,-1.0,0.0,-1.0,178.0
