date,start,stop,distance,calories,steps
2023-09-20,17:43,18:16,2011,66,3055
2023-09-20,16:31,16:38,661,20,865
2023-09-20,16:26,16:30,67,3,110
2023-09-20,13:26,13:35,141,3,229
2023-09-21,17:48,17:55,157,8,256
2023-09-22,22:31,22:44,141,10,229
2023-09-22,20:03,20:27,182,13,297
2023-09-22,19:54,20:01,109,7,178
2023-09-22,19:14,19:31,91,9,148
2023-09-22,18:56,19:03,93,5,151
2023-09-22,17:56,18:20,283,14,435
2023-09-22,16:35,16:39,64,6,104
2023-09-22,16:13,16:34,1591,53,2152
2023-09-22,15:14,15:22,686,22,923
2023-09-22,15:09,15:13,159,6,253
2023-09-22,13:17,13:21,101,3,164
2023-09-22,10:44,10:48,112,3,183
2023-09-22,10:30,10:36,136,7,222
2023-09-22,10:24,10:29,489,14,660
2023-09-22,10:18,10:23,138,4,224
2023-09-22,09:30,09:45,1342,44,1846
2023-09-23,22:43,23:11,211,14,343
2023-09-23,09:54,10:03,79,29,129
2023-09-24,19:13,19:51,264,17,430
2023-09-24,11:54,12:04,951,28,1233
2023-09-24,11:13,11:25,1152,34,1515
2023-09-25,22:10,22:16,85,0,139
2023-09-25,18:12,18:34,1661,38,2258
2023-09-25,18:05,18:11,182,3,296
2023-09-25,18:00,18:04,404,8,543
2023-09-25,15:54,16:18,799,17,1208
2023-09-25,15:50,15:53,294,8,414
2023-09-25,15:44,15:49,309,5,485
2023-09-25,14:56,15:11,83,0,136
2023-09-25,11:33,11:42,199,24,323
2023-09-25,10:31,10:44,158,10,257
2023-09-25,10:25,10:30,523,15,715
2023-09-25,09:33,09:47,1252,38,1793
2023-09-25,09:15,09:32,96,6,156
2023-09-26,08:42,08:47,486,11,718
2023-09-26,08:32,08:36,360,7,497
2023-09-26,07:34,07:48,1244,26,1794
