date,steps,distance,runDistance,calories
2023-09-12,3829,2870,2236,126
2023-09-13,5737,4320,3294,183
2023-09-14,5860,4560,3382,202
2023-09-15,5585,4210,3184,189
2023-09-16,773,579,425,24
2023-09-17,474,356,275,17
2023-09-18,5845,4412,3306,196
2023-09-19,0,0,0,0
2023-09-20,10460,7641,6126,415
2023-09-21,0,0,0,0
2023-09-22,8,5,0,1
2023-09-23,0,0,0,0
2023-09-24,0,0,0,0
2023-09-25,9104,6782,5245,301
2023-09-26,7026,5136,4046,251
2023-09-27,8733,6431,4983,318
2023-09-28,5765,4353,3325,209
2023-09-29,7273,5458,4152,267
2023-09-30,0,0,0,0
2023-10-01,0,0,0,0
2023-10-02,5678,4415,3330,194
2023-10-03,0,0,0,0
2023-10-04,0,0,0,0
2023-10-05,8881,6595,4961,306
2023-10-06,6600,4940,3783,235
2023-10-07,5134,3728,2812,167
2023-10-08,0,0,0,0
2023-10-09,9810,7456,5730,349
2023-10-10,8789,6481,4966,309
2023-10-11,10856,8222,6382,394
2023-10-12,9412,6927,5247,316
2023-10-13,6999,5186,3974,252
2023-10-14,0,0,0,0
2023-10-15,0,0,0,0
2023-10-16,0,0,0,0
2023-10-17,0,0,0,0
2023-10-18,322,213,150,24
2023-10-19,1612,1161,880,61
2023-10-20,5782,4413,3385,206
2023-10-21,3118,2342,1765,102
2023-10-22,0,0,0,0
2023-10-23,6454,4826,3719,219
2023-10-24,3543,2686,2038,124
2023-10-25,8836,6469,5086,320
2023-10-26,6192,4631,3594,213
2023-10-27,6287,4831,3293,199
2023-10-28,0,0,0,0
2023-10-29,6199,4838,3554,200
2023-10-30,7509,5499,4345,307
2023-10-31,6104,4757,3663,228
2023-11-01,10155,7555,5864,429
2023-11-02,7665,5794,4455,273
2023-11-03,4750,3687,2782,259
2023-11-04,398,263,189,42
2023-11-05,310,206,162,18
2023-11-06,3915,3176,2254,198
2023-11-07,6402,4863,3737,244
2023-11-08,6997,5177,4083,259
2023-11-09,7375,5514,4247,271
2023-11-10,2280,1743,1324,93
2023-11-11,3887,2949,2259,178
2023-11-12,0,0,0,0
2023-11-13,6793,5193,3983,236
2023-11-14,6020,4711,3612,226
2023-11-15,7702,5601,4480,290
2023-11-16,5601,4290,3166,185
2023-11-17,10848,8199,6213,425
2023-11-18,3586,2679,2071,191
2023-11-19,3547,2698,2105,217
2023-11-20,2961,2288,1715,186
2023-11-21,4862,3771,2851,225
2023-11-22,11272,8463,6539,462
2023-11-23,6566,4910,3775,236
2023-11-24,8348,6185,4767,303
2023-11-25,3722,2842,2176,147
2023-11-26,13,9,0,1
2023-11-27,0,0,0,0
2023-11-28,0,0,0,0
2023-11-29,0,0,0,0
2023-11-30,0,0,0,0
2023-12-01,9364,6913,5281,307
2023-12-02,239,158,142,23
2023-12-03,0,0,0,0
2023-12-04,0,0,0,0
2023-12-05,0,0,0,0
2023-12-06,0,0,0,0
2023-12-07,0,0,0,0
2023-12-08,0,0,0,0
2023-12-09,0,0,0,0
2023-12-10,0,0,0,0
2023-12-11,0,0,0,0
2023-12-12,0,0,0,0
2023-12-13,0,0,0,0
2023-12-14,0,0,0,0
2023-12-15,0,0,0,0
2023-12-16,0,0,0,0
2023-12-17,0,0,0,0
2023-12-18,8,5,0,2
2023-12-19,0,0,0,0
2023-12-20,0,0,0,0
2023-12-21,4089,2989,2243,133
2023-12-22,2922,2009,1702,132
2023-12-23,15,10,0,1
2023-12-24,0,0,0,0
2023-12-25,0,0,0,0
2023-12-26,0,0,0,0
2023-12-27,0,0,0,0
2023-12-28,0,0,0,0
