date,steps,distance,runDistance,calories
2023-09-22,1590,1188,946,84
2023-09-23,8139,6323,5197,342
2023-09-24,6109,4796,3505,270
2023-09-25,6094,4811,3786,249
2023-09-26,9259,7212,5929,361
2023-09-27,7045,5611,4392,305
2023-09-28,15770,12537,9720,638
2023-09-29,7469,5709,4730,336
2023-09-30,9569,7322,5947,406
2023-10-01,11461,8881,7170,448
2023-10-02,1411,1060,822,67
2023-10-03,3606,2716,2181,151
2023-10-04,5506,4298,3436,226
2023-10-05,6837,5345,4278,273
2023-10-06,9176,7139,5518,356
2023-10-07,8177,6212,4898,365
2023-10-08,10985,8611,6318,405
2023-10-09,11284,8857,6916,428
2023-10-10,8548,6672,5360,355
2023-10-11,8881,7165,5538,363
2023-10-12,6185,4750,3975,276
2023-10-13,4839,3694,3073,215
2023-10-14,5325,4092,3443,251
2023-10-15,4109,3228,2819,199
2023-10-16,9678,7845,5955,388
2023-10-17,4650,3680,3015,211
2023-10-18,7747,6324,4918,325
2023-10-19,5190,4069,3155,217
2023-10-20,2977,2355,1872,155
2023-10-21,9371,7452,6045,399
2023-10-22,5923,5256,4019,365
2023-10-23,8493,6699,5208,336
2023-10-24,6782,5289,4344,279
2023-10-25,9552,7578,5964,386
2023-10-26,29,21,15,4
2023-10-29,0,0,0,0
2023-10-30,8371,6628,5259,329
2023-10-31,10245,8115,6208,378
2023-11-01,9221,7391,5726,367
2023-11-02,3720,2888,2285,171
2023-11-03,8676,6738,5348,308
2023-11-04,7532,5570,4635,290
2023-11-05,6583,5383,4045,245
2023-11-06,12474,10071,7856,405
2023-11-07,6347,4994,4016,219
2023-11-08,10202,8023,6538,349
2023-11-09,3221,2442,1967,131
2023-11-10,8922,6954,5627,334
2023-11-11,6563,5107,4184,263
2023-11-12,2958,2234,1917,127
2023-11-13,7109,5596,4321,236
2023-11-14,6679,5292,4241,250
2023-11-15,8689,6762,5526,324
2023-11-16,15703,12417,9446,1954
2023-11-17,8570,6633,5372,328
2023-11-18,8397,6434,5467,385
2023-11-19,6769,5225,4257,250
2023-11-20,6864,5335,4313,1461
2023-11-21,4952,3884,3051,170
2023-11-22,9257,7198,5693,319
2023-11-23,9687,7651,6133,316
2023-11-24,3624,2734,2247,157
2023-11-25,0,0,0,0
2023-11-26,0,0,0,0
2023-11-27,5943,4781,3821,207
2023-11-28,9147,7372,5773,286
2023-11-29,609,486,370,18
2023-11-30,0,0,0,0
2023-12-01,0,0,0,0
2023-12-02,0,0,0,0
2023-12-03,0,0,0,0
2023-12-04,0,0,0,0
2023-12-05,0,0,0,0
2023-12-06,0,0,0,0
2023-12-07,0,0,0,0
2023-12-17,0,0,0,0
2023-12-18,3252,2410,1867,148
2023-12-19,7166,5633,4202,273
2023-12-20,6868,5269,4002,274
2023-12-21,6643,5085,3840,276
2023-12-22,5259,4219,3322,214
2023-12-23,2894,2215,1796,124
