date,steps,distance,runDistance,calories
2023-09-20,4874,3261,2310,125
2023-09-21,625,385,342,46
2023-09-22,9310,6433,4988,304
2023-09-23,1538,948,856,250
2023-09-24,4777,3353,2608,188
2023-09-25,10250,7042,5356,378
2023-09-26,7838,5440,4131,111
2023-09-27,7938,5521,4209,100
2023-09-28,10009,6905,5316,316
2023-09-29,14773,10139,7686,185
2023-09-30,5700,3907,2983,75
2023-10-01,1439,887,712,4
2023-10-02,9188,6413,4870,122
2023-10-03,1164,717,600,368
2023-10-04,9489,6538,4998,112
2023-10-05,8292,5863,4466,268
2023-10-06,12675,9019,6841,185
2023-10-07,10968,7813,5950,309
2023-10-08,2304,1420,1105,4
2023-10-09,11352,7788,5905,161
2023-10-10,9933,7006,5389,129
2023-10-11,11609,8168,6283,331
2023-10-12,13269,9412,7079,200
2023-10-13,7183,5031,3759,94
2023-10-14,717,442,393,0
2023-10-15,1782,1117,918,5
2023-10-16,10616,7417,5622,130
2023-10-17,7768,5418,4140,107
2023-10-18,9125,6332,4856,132
2023-10-19,7343,5175,3905,104
2023-10-20,10948,7706,5844,165
2023-10-21,1655,1020,896,3
2023-10-22,16529,11751,8863,1908
2023-10-23,9594,6632,5084,128
2023-10-24,1670,1029,886,108
2023-10-25,8428,5807,4408,108
2023-10-26,9902,6816,5245,120
2023-10-27,19967,13499,10300,259
2023-10-28,7567,5266,4090,101
2023-10-29,4925,3370,2655,256
2023-10-30,14566,9795,7392,288
2023-10-31,12319,8523,6482,372
2023-11-01,11142,7730,5874,172
2023-11-02,10490,7232,5564,138
2023-11-03,8184,5673,4387,99
2023-11-04,899,554,481,3
2023-11-05,726,447,396,0
2023-11-06,1413,887,754,2
2023-11-07,7676,5455,4129,273
2023-11-08,9940,7083,5441,143
2023-11-09,9559,6661,5062,321
2023-11-10,9957,6950,5221,140
2023-11-11,94,58,37,0
2023-11-13,0,0,0,0
2023-11-14,415,256,220,256
2023-11-15,8603,5976,4520,114
2023-11-16,5869,4052,3036,121
2023-11-17,17468,12264,9259,281
2023-11-18,3208,1978,1720,1361
2023-11-19,4011,2795,2192,481
2023-11-20,12726,8890,6807,241
2023-11-21,2881,2000,1289,46
